regione,popolazione,eta,eta_class,eta_class2
P.A. Bolzano,5692,5,"[0,10)",0-15
Umbria,6845,5,"[0,10)",0-15
Marche,12179,5,"[0,10)",0-15
Lazio,49513,5,"[0,10)",0-15
Abruzzo,10300,5,"[0,10)",0-15
Molise,2153,5,"[0,10)",0-15
Campania,50945,5,"[0,10)",0-15
Puglia,32418,5,"[0,10)",0-15
Basilicata,4045,5,"[0,10)",0-15
Calabria,16068,5,"[0,10)",0-15
Sicilia,42972,5,"[0,10)",0-15
Sardegna,11252,5,"[0,10)",0-15
Emilia-Romagna,38385,6,"[0,10)",0-15
P.A. Trento,5211,6,"[0,10)",0-15
Molise,2192,6,"[0,10)",0-15
Piemonte,35065,6,"[0,10)",0-15
Trentino Alto Adige / Südtirol,10623,6,"[0,10)",0-15
Lombardia,88821,6,"[0,10)",0-15
Valle d'Aosta,1033,6,"[0,10)",0-15
Veneto,41614,6,"[0,10)",0-15
Basilicata,4026,6,"[0,10)",0-15
Sicilia,42416,6,"[0,10)",0-15
Calabria,16075,6,"[0,10)",0-15
Abruzzo,10453,6,"[0,10)",0-15
Lazio,50450,6,"[0,10)",0-15
Friuli Venezia Giulia,9426,6,"[0,10)",0-15
P.A. Bolzano,5412,6,"[0,10)",0-15
Sardegna,11614,6,"[0,10)",0-15
Toscana,29467,6,"[0,10)",0-15
Puglia,33061,6,"[0,10)",0-15
Campania,52006,6,"[0,10)",0-15
Liguria,10956,6,"[0,10)",0-15
Marche,12490,6,"[0,10)",0-15
Umbria,7118,6,"[0,10)",0-15
Basilicata,4406,7,"[0,10)",0-15
Sardegna,12206,7,"[0,10)",0-15
Lazio,53333,7,"[0,10)",0-15
Sicilia,44542,7,"[0,10)",0-15
Umbria,7461,7,"[0,10)",0-15
Abruzzo,10966,7,"[0,10)",0-15
Molise,2245,7,"[0,10)",0-15
Marche,12818,7,"[0,10)",0-15
Calabria,16483,7,"[0,10)",0-15
Toscana,31289,7,"[0,10)",0-15
Puglia,34277,7,"[0,10)",0-15
Campania,54373,7,"[0,10)",0-15
P.A. Bolzano,5625,7,"[0,10)",0-15
Lombardia,92013,7,"[0,10)",0-15
Piemonte,36414,7,"[0,10)",0-15
Trentino Alto Adige / Südtirol,10859,7,"[0,10)",0-15
P.A. Trento,5234,7,"[0,10)",0-15
Emilia-Romagna,39593,7,"[0,10)",0-15
Valle d'Aosta,1124,7,"[0,10)",0-15
Veneto,43637,7,"[0,10)",0-15
Friuli Venezia Giulia,9844,7,"[0,10)",0-15
Liguria,11590,7,"[0,10)",0-15
Trentino Alto Adige / Südtirol,10901,8,"[0,10)",0-15
Basilicata,4374,8,"[0,10)",0-15
Sardegna,12843,8,"[0,10)",0-15
Piemonte,36698,8,"[0,10)",0-15
P.A. Trento,5377,8,"[0,10)",0-15
Lombardia,93991,8,"[0,10)",0-15
Emilia-Romagna,40376,8,"[0,10)",0-15
P.A. Bolzano,5524,8,"[0,10)",0-15
Friuli Venezia Giulia,10021,8,"[0,10)",0-15
Valle d'Aosta,1182,8,"[0,10)",0-15
Lazio,53295,8,"[0,10)",0-15
Calabria,16714,8,"[0,10)",0-15
Umbria,7552,8,"[0,10)",0-15
Abruzzo,11115,8,"[0,10)",0-15
Molise,2316,8,"[0,10)",0-15
Liguria,11409,8,"[0,10)",0-15
Veneto,44439,8,"[0,10)",0-15
Puglia,35383,8,"[0,10)",0-15
Sicilia,44642,8,"[0,10)",0-15
Marche,13452,8,"[0,10)",0-15
Toscana,31668,8,"[0,10)",0-15
Campania,55531,8,"[0,10)",0-15
Puglia,36556,9,"[0,10)",0-15
Calabria,17254,9,"[0,10)",0-15
Toscana,32704,9,"[0,10)",0-15
Campania,57239,9,"[0,10)",0-15
Marche,13632,9,"[0,10)",0-15
Lazio,54609,9,"[0,10)",0-15
Friuli Venezia Giulia,10410,9,"[0,10)",0-15
Sardegna,13244,9,"[0,10)",0-15
